x,y,z,weight
-10.000,-10.000,0.000,0.445
-10.000,-7.778,79.012,0.307
-10.000,-5.556,138.272,0.420
-10.000,-3.333,177.778,0.915
-10.000,-1.111,197.531,1.238
-10.000,1.111,197.531,0.770
-10.000,3.333,177.778,0.927
-10.000,5.556,138.272,1.624
-10.000,7.778,79.012,0.320
-10.000,10.000,0.000,0.212
-7.778,-10.000,-79.012,1.625
-7.778,-7.778,0.000,0.345
-7.778,-5.556,59.259,0.930
-7.778,-3.333,98.765,1.387
-7.778,-1.111,118.519,1.607
-7.778,1.111,118.519,1.000
-7.778,3.333,98.765,0.744
-7.778,5.556,59.259,0.411
-7.778,7.778,-0.000,0.080
-7.778,10.000,-79.012,0.209
-5.556,-10.000,-138.272,1.028
-5.556,-7.778,-59.259,0.798
-5.556,-5.556,0.000,1.972
-5.556,-3.333,39.506,1.004
-5.556,-1.111,59.259,1.923
-5.556,1.111,59.259,0.690
-5.556,3.333,39.506,1.612
-5.556,5.556,-0.000,1.265
-5.556,7.778,-59.259,0.736
-5.556,10.000,-138.272,1.097
-3.333,-10.000,-177.778,1.001
-3.333,-7.778,-98.765,1.006
-3.333,-5.556,-39.506,1.060
-3.333,-3.333,0.000,0.282
-3.333,-1.111,19.753,1.245
-3.333,1.111,19.753,1.190
-3.333,3.333,-0.000,0.910
-3.333,5.556,-39.506,0.966
-3.333,7.778,-98.765,1.160
-3.333,10.000,-177.778,1.815
-1.111,-10.000,-197.531,1.619
-1.111,-7.778,-118.519,1.131
-1.111,-5.556,-59.259,1.264
-1.111,-3.333,-19.753,0.351
-1.111,-1.111,0.000,1.084
-1.111,1.111,0.000,1.763
-1.111,3.333,-19.753,0.816
-1.111,5.556,-59.259,0.497
-1.111,7.778,-118.519,1.463
-1.111,10.000,-197.531,1.634
1.111,-10.000,-197.531,0.274
1.111,-7.778,-118.519,1.460
1.111,-5.556,-59.259,1.188
1.111,-3.333,-19.753,1.250
1.111,-1.111,0.000,0.337
1.111,1.111,0.000,0.930
1.111,3.333,-19.753,0.555
1.111,5.556,-59.259,1.483
1.111,7.778,-118.519,1.426
1.111,10.000,-197.531,1.265
3.333,-10.000,-177.778,1.232
3.333,-7.778,-98.765,1.183
3.333,-5.556,-39.506,0.347
3.333,-3.333,0.000,1.013
3.333,-1.111,19.753,1.564
3.333,1.111,19.753,0.832
3.333,3.333,0.000,0.652
3.333,5.556,-39.506,0.016
3.333,7.778,-98.765,0.672
3.333,10.000,-177.778,0.455
5.556,-10.000,-138.272,1.354
5.556,-7.778,-59.259,0.089
5.556,-5.556,0.000,0.271
5.556,-3.333,39.506,1.028
5.556,-1.111,59.259,0.515
5.556,1.111,59.259,0.027
5.556,3.333,39.506,1.564
5.556,5.556,0.000,1.494
5.556,7.778,-59.259,0.615
5.556,10.000,-138.272,0.830
7.778,-10.000,-79.012,0.624
7.778,-7.778,0.000,1.682
7.778,-5.556,59.259,1.591
7.778,-3.333,98.765,0.274
7.778,-1.111,118.519,1.452
7.778,1.111,118.519,0.707
7.778,3.333,98.765,0.058
7.778,5.556,59.259,0.847
7.778,7.778,0.000,1.135
7.778,10.000,-79.012,1.234
10.000,-10.000,0.000,1.699
10.000,-7.778,79.012,1.126
10.000,-5.556,138.272,1.265
10.000,-3.333,177.778,1.138
10.000,-1.111,197.531,0.866
10.000,1.111,197.531,0.968
10.000,3.333,177.778,1.203
10.000,5.556,138.272,1.614
10.000,7.778,79.012,0.720
10.000,10.000,0.000,1.469
